Link,Library name,Chain/Card,Address Street,Address Zip,Address City,Languages,Services,Genres,Contact
https://www.deutsche-bibliothek.org/,Deutsche Bibliothek Helsinki,Deutsche Bibliothek Helsinki,Pohjoinen Makasiinikatu 7,130,Helsinki,DE,"space rent, excurtions, book finding","Fennica-collection, newspapers, fiction, non-fiction, history, language, regional studies",
https://www.helsinki.fi/fi/helsingin-yliopiston-kirjasto/kirjaston-toimipisteet-ja-tilat/paakirjasto-kaisa-talo,Kaisa-talo,Helka,Fabianinkatu 30,ooo14,Helsinki,,"asiakaspalvelu, ryhmätyätilat, e-kirjoja, e-lehteja, tietokone lainamo, opastus, kokoustilan vuokraminen","humanististiede, yhteiskuntatiede",o294123920
https://www.helsinki.fi/fi/helsingin-yliopiston-kirjasto/toimipaikat-ja-tilat/kumpulan-kampuskirjasto,Kumpula kampus,Helka,Gustaf Hällströmin katu 2,oo560,Helsinki,,"physicum, asiakaspalvelu, ryhmätyätilat, e-kirjoja, e-lehteja","matematiikka, luonnontiede",
https://www.helsinki.fi/fi/helsingin-yliopiston-kirjasto/toimipaikat-ja-tilat/meilahden-kampuskirjasto,Meilahti kampus,Helka,Haartmaninkatu 4,ooo14,Helsinki,,"Terkko Health Hub, asiakaspalvelu, ryhmätyätilat, e-kirjoja, e-lehteja","lääketiede, terveystiede",,https://helka.helsinki.fi/discovery/search?vid=358UOH_INST:TERKKONAVIGATOR
https://www.helsinki.fi/fi/helsingin-yliopiston-kirjasto/toimipaikat-ja-tilat/viikin-kampuskirjasto,Viikki kampus,Helka,Viikinkaari 11,ooo14,Helsinki,,"Infokeskus Korona, asiakaspalvelu, ryhmätyätilat, e-kirjoja, e-lehteja","biotiede, maataloustiede, metsätaloustiede",,
https://www.helsinki.fi/fi/helsingin-yliopiston-kirjasto/toimipaikat-ja-tilat/oppimiskeskus-aleksandria-suljettu,Aleksandria,Helka,,,Helsinki,,työpajat,,o294123920,
https://kotus.fi/kotus/kirjasto/,Kotimaisten kielten keskuksen (Kotus),Helka,Hakaniemenranta 6,oo5300,Helsinki
